[RUN] AUH_HepG2_20260706-193105
[DIR] logs=results/logs model=results/model metrics=results/metrics
[CFG] results/logs/AUH_HepG2_20260706-193105_config.json
AUH_HepG2 	 Test  Epoch: 41     avg.loss: 1.1587 Acc: 0.80%, AUC: 0.8613 (0.8786), PRC: 0.7678, MCC: 0.5202, 40
AUH_HepG2 	 Train Epoch: 42     avg.loss: 0.1837 Acc: 0.95%, AUC: 0.9944, PRC: 0.9896, MCC: 0.8958, lr: 0.001600
AUH_HepG2 	 Test  Epoch: 42     avg.loss: 1.2144 Acc: 0.83%, AUC: 0.8769 (0.8786), PRC: 0.7991, MCC: 0.5962, 40
AUH_HepG2 	 Train Epoch: 43     avg.loss: 0.1843 Acc: 0.95%, AUC: 0.9950, PRC: 0.9905, MCC: 0.8969, lr: 0.001600
AUH_HepG2 	 Test  Epoch: 43     avg.loss: 1.5693 Acc: 0.80%, AUC: 0.8793 (0.8793), PRC: 0.7987, MCC: 0.5240, 43
AUH_HepG2 	 Train Epoch: 44     avg.loss: 0.1683 Acc: 0.96%, AUC: 0.9964, PRC: 0.9934, MCC: 0.9070, lr: 0.001600
AUH_HepG2 	 Test  Epoch: 44     avg.loss: 0.8946 Acc: 0.83%, AUC: 0.8890 (0.8890), PRC: 0.8173, MCC: 0.6196, 44
AUH_HepG2 	 Train Epoch: 45     avg.loss: 0.1593 Acc: 0.96%, AUC: 0.9963, PRC: 0.9928, MCC: 0.9089, lr: 0.001280
AUH_HepG2 	 Test  Epoch: 45     avg.loss: 1.3055 Acc: 0.81%, AUC: 0.8769 (0.8890), PRC: 0.7915, MCC: 0.5456, 44
AUH_HepG2 	 Train Epoch: 46     avg.loss: 0.1230 Acc: 0.97%, AUC: 0.9982, PRC: 0.9965, MCC: 0.9282, lr: 0.001280
AUH_HepG2 	 Test  Epoch: 46     avg.loss: 1.7052 Acc: 0.81%, AUC: 0.8771 (0.8890), PRC: 0.8009, MCC: 0.5440, 44
AUH_HepG2 	 Train Epoch: 47     avg.loss: 0.1384 Acc: 0.97%, AUC: nan, PRC: 0.9966, MCC: 0.9335, lr: 0.001280
AUH_HepG2 	 Test  Epoch: 47     avg.loss: 2.5803 Acc: 0.80%, AUC: 0.8803 (0.8890), PRC: 0.8053, MCC: 0.5234, 44
AUH_HepG2 	 Train Epoch: 48     avg.loss: 0.1106 Acc: 0.97%, AUC: 0.9988, PRC: 0.9976, MCC: 0.9358, lr: 0.001280
AUH_HepG2 	 Test  Epoch: 48     avg.loss: 2.4523 Acc: 0.80%, AUC: 0.8790 (0.8890), PRC: 0.8037, MCC: 0.5295, 44
AUH_HepG2 	 Train Epoch: 49     avg.loss: 0.0875 Acc: 0.98%, AUC: 0.9990, PRC: 0.9979, MCC: 0.9516, lr: 0.001280
AUH_HepG2 	 Test  Epoch: 49     avg.loss: 1.7986 Acc: 0.81%, AUC: 0.8768 (0.8890), PRC: 0.8045, MCC: 0.5658, 44
AUH_HepG2 	 Train Epoch: 50     avg.loss: 0.1032 Acc: 0.97%, AUC: 0.9988, PRC: 0.9977, MCC: 0.9406, lr: 0.001024
AUH_HepG2 	 Test  Epoch: 50     avg.loss: 2.0165 Acc: 0.81%, AUC: 0.8822 (0.8890), PRC: 0.8027, MCC: 0.5510, 44
AUH_HepG2 	 Train Epoch: 51     avg.loss: 0.0704 Acc: 0.98%, AUC: 0.9995, PRC: 0.9989, MCC: 0.9597, lr: 0.001024
AUH_HepG2 	 Test  Epoch: 51     avg.loss: 2.3281 Acc: 0.80%, AUC: 0.8866 (0.8890), PRC: 0.8123, MCC: 0.5415, 44
AUH_HepG2 	 Train Epoch: 52     avg.loss: 0.0637 Acc: 0.99%, AUC: 0.9995, PRC: 0.9990, MCC: 0.9665, lr: 0.001024
AUH_HepG2 	 Test  Epoch: 52     avg.loss: 1.7607 Acc: 0.83%, AUC: 0.8875 (0.8890), PRC: 0.8134, MCC: 0.5955, 44
AUH_HepG2 	 Train Epoch: 53     avg.loss: 0.0648 Acc: 0.98%, AUC: 0.9993, PRC: 0.9986, MCC: 0.9624, lr: 0.001024
AUH_HepG2 	 Test  Epoch: 53     avg.loss: 1.8513 Acc: 0.82%, AUC: 0.8851 (0.8890), PRC: 0.8159, MCC: 0.5897, 44
AUH_HepG2 	 Train Epoch: 54     avg.loss: 0.0589 Acc: 0.98%, AUC: 0.9996, PRC: 0.9994, MCC: 0.9652, lr: 0.001024
AUH_HepG2 	 Test  Epoch: 54     avg.loss: 1.5065 Acc: 0.84%, AUC: 0.8914 (0.8914), PRC: 0.8229, MCC: 0.6215, 54
AUH_HepG2 	 Train Epoch: 55     avg.loss: 0.0488 Acc: 0.99%, AUC: 0.9998, PRC: 0.9997, MCC: 0.9715, lr: 0.000819
AUH_HepG2 	 Test  Epoch: 55     avg.loss: 1.8778 Acc: 0.82%, AUC: 0.8800 (0.8914), PRC: 0.8024, MCC: 0.5796, 54
AUH_HepG2 	 Train Epoch: 56     avg.loss: 0.0432 Acc: 0.99%, AUC: 0.9997, PRC: 0.9995, MCC: 0.9756, lr: 0.000819
AUH_HepG2 	 Test  Epoch: 56     avg.loss: 3.2138 Acc: 0.79%, AUC: 0.8872 (0.8914), PRC: 0.8158, MCC: 0.5201, 54
AUH_HepG2 	 Train Epoch: 57     avg.loss: 0.0425 Acc: 0.99%, AUC: 0.9998, PRC: 0.9995, MCC: 0.9772, lr: 0.000819
AUH_HepG2 	 Test  Epoch: 57     avg.loss: 1.6105 Acc: 0.83%, AUC: 0.8891 (0.8914), PRC: 0.8206, MCC: 0.6124, 54
AUH_HepG2 	 Train Epoch: 58     avg.loss: 0.0372 Acc: 0.99%, AUC: 0.9997, PRC: 0.9996, MCC: 0.9785, lr: 0.000819
AUH_HepG2 	 Test  Epoch: 58     avg.loss: 2.1996 Acc: 0.82%, AUC: 0.8895 (0.8914), PRC: 0.8210, MCC: 0.5882, 54
AUH_HepG2 	 Train Epoch: 59     avg.loss: 0.0353 Acc: 0.99%, AUC: 0.9998, PRC: 0.9997, MCC: 0.9828, lr: 0.000819
AUH_HepG2 	 Test  Epoch: 59     avg.loss: 2.4278 Acc: 0.82%, AUC: 0.8911 (0.8914), PRC: 0.8213, MCC: 0.5846, 54
AUH_HepG2 	 Train Epoch: 60     avg.loss: 0.0310 Acc: 0.99%, AUC: 1.0000, PRC: 0.9999, MCC: 0.9819, lr: 0.000655
AUH_HepG2 	 Test  Epoch: 60     avg.loss: 2.1767 Acc: 0.83%, AUC: 0.8857 (0.8914), PRC: 0.8156, MCC: 0.6002, 54
